ROW,COL,2000,2050,2100
1,19,0.012798008,0.014333769,0.011774167
2,12,0.009714406,0.010880135,0.008937254
2,13,0.010772327,0.012065006,0.009910541
2,19,0.013683783,0.015325837,0.01258908
2,20,0.014466388,0.016202355,0.013309077
3,12,0.010746066,0.012035594,0.009886381
3,13,0.012842609,0.014383722,0.0118152
3,19,0.017416618,0.019506612,0.016023289
3,20,0.017438498,0.019531118,0.016043418
4,10,0.010191791,0.011414806,0.009376448
4,11,0.012880043,0.014425648,0.01184964
4,12,0.014232534,0.015940438,0.013093931
4,13,0.012792335,0.014327415,0.011768948
4,14,0.011354615,0.012717169,0.010446246
4,15,0.015415581,0.017265451,0.014182335
4,16,0.015030344,0.016833985,0.013827916
4,17,0.015182029,0.017003872,0.013967467
4,18,0.014450518,0.01618458,0.013294477
4,19,0.016932203,0.018964067,0.015577627
4,20,0.015095663,0.016907143,0.01388801
5,6,0.014055805,0.015742502,0.012931341
5,7,0.014055805,0.015742502,0.012931341
5,8,0.013932236,0.015604104,0.012817657
5,9,0.012477612,0.013974925,0.011479403
5,10,0.010838459,0.012139074,0.009971382
5,11,0.013812877,0.015470422,0.012707847
5,12,0.018061046,0.020228372,0.016616162
5,13,0.013501054,0.01512118,0.01242097
5,14,0.016729424,0.018736955,0.01539107
5,15,0.018051499,0.020217679,0.016607379
5,16,0.016531615,0.018515409,0.015209086
5,17,0.016531028,0.018514751,0.015208546
5,18,0.017008801,0.019049857,0.015648097
5,19,0.015960298,0.017875534,0.014683474
5,20,0.015840759,0.01774165,0.014573498
6,4,0.010577472,0.011846769,0.009731274
6,5,0.011534444,0.012918577,0.010611688
6,6,0.012497665,0.013997385,0.011497852
6,7,0.012651679,0.01416988,0.011639545
6,8,0.015111715,0.016925121,0.013902778
6,9,0.013942227,0.015615294,0.012826849
6,10,0.015073972,0.016882849,0.013868054
6,11,0.015847504,0.017749204,0.014579704
6,12,0.017606616,0.01971941,0.016198087
6,13,0.011722097,0.013128749,0.010784329
6,14,0.01846423,0.020679938,0.016987092
6,15,0.018755624,0.021006299,0.017255174
6,16,0.018435044,0.020647249,0.01696024
6,17,0.017608532,0.019721556,0.016199849
6,18,0.013460394,0.015075641,0.012383562
6,19,0.015610373,0.017483618,0.014361543
6,20,0.014805839,0.01658254,0.013621372
6,21,0.01438618,0.016112522,0.013235286
7,3,0.010612218,0.011885684,0.009763241
7,4,0.012389611,0.013876364,0.011398442
7,5,0.012817509,0.01435561,0.011792108
7,6,0.013014701,0.014576465,0.011973525
7,7,0.015952997,0.017867357,0.014676757
7,8,0.012647965,0.014165721,0.011636128
7,9,0.012736418,0.014264788,0.011717505
7,10,0.012097453,0.013549147,0.011129657
7,11,0.014929953,0.016721547,0.013735557
7,12,0.020111816,0.022525234,0.018502871
7,13,0.017320395,0.019398842,0.015934763
7,14,0.018266596,0.020458588,0.016805268
7,15,0.016790729,0.018805616,0.015447471
7,16,0.016889131,0.018915827,0.015538001
7,17,0.016153605,0.018092038,0.014861317
7,18,0.01552644,0.017389613,0.014284325
7,19,0.016147726,0.018085453,0.014855908
7,20,0.01433195,0.016051784,0.013185394
7,21,0.014062081,0.015749531,0.012937115
7,22,0.013173535,0.014754359,0.012119652
8,3,0.010375977,0.011621094,0.009545899
8,4,0.012409523,0.013898666,0.011416761
8,5,0.013712321,0.0153578,0.012615335
8,6,0.013648412,0.015286221,0.012556539
8,7,0.014761345,0.016532706,0.013580437
8,8,0.011374538,0.012739483,0.010464575
8,9,0.011250778,0.012600871,0.010350716
8,10,0.013948015,0.015621777,0.012832174
8,11,0.01623698,0.018185418,0.014938022
8,12,0.016428327,0.018399726,0.015114061
8,13,0.016197422,0.018141113,0.014901628
8,14,0.01691818,0.018948362,0.015564726
8,15,0.017571975,0.019680612,0.016166217
8,16,0.019624681,0.021979643,0.018054707
8,17,0.016212333,0.018157813,0.014915346
8,18,0.016928714,0.01896016,0.015574417
8,19,0.018794908,0.021050297,0.017291315
8,20,0.015529184,0.017392686,0.014286849
8,21,0.014483866,0.01622193,0.013325157
8,22,0.012616783,0.014130797,0.01160744
9,2,0.014545698,0.016291182,0.013382042
9,3,0.013299644,0.014895601,0.012235672
9,4,0.012878228,0.014423615,0.01184797
